"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"1825580","2","7670","7620","SERV_REC_X_HOA","SERV","Services related to recreation and personal care, excluding package holidays and accommodation",
"1825581","2","7680","7620","SERV_REC_HOA","SERV","Services related to package holidays and accommodation",
"1825582","2","7690","7620","SERV_TRA","SERV","Services related to transport",
"1825583","1","7700",,"NRG_FOOD_NP",,"Energy and unprocessed food",
"1825584","1","7710",,"NRG_FOOD_S",,"Energy and seasonal food",
"1825585","1","7720",,"EDUC_HLTH_SPR",,"Education, health and social protection",
"1825586","1","7730",,"FROOPP",,"Frequent out-of-pocket purchases",
"1825587","1","7740",,"TOT_X_FOOD_S",,"Overall index excluding seasonal food",
"1825588","1","7750",,"TOT_X_ALC_TBC",,"Overall index excluding alcohol and tobacco",
"1825589","1","7760",,"TOT_X_TBC",,"Overall index excluding tobacco",
"1825590","1","7770",,"TOT_X_NRG",,"Overall index excluding energy",
"1825591","1","7780",,"TOT_X_NRG_FOOD",,"Overall index excluding energy, food, alcohol and tobacco",
"1825592","1","7790",,"TOT_X_NRG_FOOD_NP",,"Overall index excluding energy and unprocessed food",
"1825593","1","7800",,"TOT_X_NRG_FOOD_S",,"Overall index excluding energy and seasonal food",
"1825594","1","7810",,"TOT_X_FUEL",,"Overall index excluding liquid fuels and lubricants for personal transport equipment",
"1825595","1","7820",,"TOT_X_HOUS",,"Overall index excluding housing, water, electricity, gas and other fuels",
"1825596","1","7830",,"TOT_X_EDUC_HLTH_SPR",,"Overall index excluding Education, health and social protection",
"1825597","1","7840",,"TOT_X_FROOPP",,"Overall index excluding frequent out-of-pocket purchases",
"1825598","1","7850",,"AP",,"Administered prices",
"1825599","2","7860","7850","AP_NRG","AP","Administered prices, energy",
"1825600","2","7870","7850","AP_NNRG","AP","Administered prices, non-energy",
"1825601","2","7880","7850","APF","AP","Fully administered prices",
"1825602","2","7890","7850","APM","AP","Mainly administered prices",
"1825603","1","7900",,"TOT_X_AP",,"Overall index excluding administered prices",
"1825604","1","7910",,"TOT_X_APF",,"Overall index excluding fully administered prices",
"1825605","1","7920",,"TOT_X_APM",,"Overall index excluding mainly administered prices",
